Country,Type,Serial,CEFR,Upper/lower/students/teachers/others,Grammar,Spelling,Word Count,Average Sentence Length,Function Word Count,FWratio
CHN,PTJ,105,B1,1,0,0,215,11,80,0.372093023
CHN,PTJ,106,B1,1,1,0,227,11,103,0.453744493
CHN,PTJ,107,B1,1,1,1,235,10,84,0.357446809
CHN,PTJ,108,B1,1,0,0,209,12,75,0.358851675
CHN,PTJ,109,B1,1,0,0,230,19,102,0.443478261
CHN,PTJ,110,B1,1,0,0,212,11,88,0.41509434
CHN,PTJ,111,B1,1,1,1,228,15,79,0.346491228
CHN,PTJ,112,B1,1,0,8,285,19,122,0.428070175
CHN,PTJ,113,B1,1,0,0,289,18,143,0.494809689
CHN,PTJ,114,B1,1,0,0,244,12,90,0.368852459
CHN,PTJ,115,A2,0,0,4,246,13,86,0.349593496
CHN,PTJ,116,A2,0,0,0,209,12,85,0.406698565
CHN,PTJ,117,A2,0,0,0,206,18,93,0.451456311
CHN,PTJ,118,B1,2,0,0,211,14,87,0.412322275
CHN,PTJ,119,B1,1,1,1,214,16,93,0.434579439
CHN,PTJ,120,B1,1,0,2,230,19,94,0.408695652
CHN,PTJ,121,B1,1,2,2,232,12,87,0.375
CHN,PTJ,122,B1,1,0,0,204,17,83,0.406862745
CHN,PTJ,123,B1,1,2,0,217,13,77,0.35483871
CHN,PTJ,124,B1,1,0,3,249,19,106,0.425702811
CHN,PTJ,125,B1,1,0,0,251,11,100,0.398406375
CHN,PTJ,126,B1,1,1,2,205,15,90,0.43902439
CHN,PTJ,127,B1,1,0,5,256,18,109,0.42578125
CHN,PTJ,128,B1,1,0,1,303,17,141,0.465346535
CHN,PTJ,129,B1,1,0,0,246,15,108,0.43902439
CHN,PTJ,130,B1,1,1,0,244,18,109,0.446721311
CHN,PTJ,131,B1,1,1,1,201,13,81,0.402985075
CHN,PTJ,132,B1,1,0,0,203,14,89,0.438423645
CHN,PTJ,133,B1,1,1,2,231,13,89,0.385281385
CHN,PTJ,134,A2,0,2,2,207,14,71,0.342995169
CHN,PTJ,135,B1,1,1,13,287,14,112,0.390243902
CHN,PTJ,136,A2,0,0,0,206,13,84,0.40776699
CHN,PTJ,137,B1,2,2,0,218,10,86,0.394495413
CHN,PTJ,138,B1,1,0,0,231,19,103,0.445887446
CHN,PTJ,139,A2,0,0,2,200,13,87,0.435
CHN,PTJ,140,A2,0,0,3,217,15,81,0.373271889
CHN,PTJ,141,B1,2,0,0,217,14,87,0.400921659
CHN,PTJ,142,B1,1,0,1,196,13,74,0.37755102
CHN,PTJ,143,B1,1,2,9,259,17,100,0.386100386
CHN,PTJ,144,B1,1,0,7,273,21,123,0.450549451
CHN,PTJ,145,B1,1,1,1,234,13,102,0.435897436
CHN,PTJ,146,A2,0,0,4,207,12,78,0.376811594
CHN,PTJ,147,B1,1,0,1,227,12,91,0.400881057
CHN,PTJ,148,B1,1,0,0,213,15,80,0.375586854
CHN,PTJ,149,B1,1,0,1,247,13,105,0.425101215
CHN,PTJ,150,B1,1,1,0,212,14,85,0.400943396
CHN,PTJ,151,B1,2,0,0,210,16,83,0.395238095
CHN,PTJ,152,B1,2,0,0,225,17,102,0.453333333
CHN,PTJ,153,B1,1,0,0,219,12,87,0.397260274
CHN,PTJ,154,B1,1,1,0,240,15,91,0.379166667
CHN,PTJ,155,B1,1,0,0,229,16,90,0.3930131
CHN,PTJ,156,B1,1,1,0,275,18,115,0.418181818
CHN,PTJ,157,B1,1,1,2,220,11,82,0.372727273
CHN,PTJ,158,B1,2,0,0,225,17,91,0.404444444
CHN,PTJ,159,B1,1,0,0,204,15,76,0.37254902
CHN,PTJ,160,B2,0,0,0,209,17,79,0.377990431
CHN,PTJ,161,B1,1,0,0,221,14,90,0.407239819
CHN,PTJ,162,B1,1,0,0,222,14,80,0.36036036
CHN,PTJ,163,B2,0,0,2,215,15,83,0.386046512
CHN,PTJ,164,B1,1,0,3,254,18,102,0.401574803
CHN,PTJ,165,B1,1,0,0,211,19,104,0.492890995
CHN,PTJ,166,B1,1,0,10,250,19,100,0.4
CHN,PTJ,167,B1,1,0,1,230,13,100,0.434782609
CHN,PTJ,168,B1,1,0,1,226,13,106,0.469026549
CHN,PTJ,169,B1,2,0,0,200,18,72,0.36
CHN,PTJ,170,B1,2,0,0,202,13,87,0.430693069
CHN,PTJ,171,B1,1,2,0,203,20,89,0.438423645
CHN,PTJ,172,B2,0,1,2,200,11,84,0.42
CHN,PTJ,173,B1,1,0,0,217,14,80,0.368663594
CHN,PTJ,174,B1,1,0,5,242,18,104,0.429752066
CHN,PTJ,175,B1,1,0,0,242,18,103,0.425619835
CHN,PTJ,176,B1,1,0,1,224,16,108,0.482142857
CHN,PTJ,177,B1,2,0,1,243,18,100,0.411522634
CHN,PTJ,178,B1,1,0,0,217,15,94,0.433179724
CHN,PTJ,179,B1,1,0,0,237,14,80,0.337552743
CHN,PTJ,180,B1,2,0,1,224,12,86,0.383928571
CHN,PTJ,181,B1,1,0,4,290,20,114,0.393103448
CHN,PTJ,182,B2,0,0,0,209,16,81,0.387559809
CHN,PTJ,183,B1,2,0,0,247,14,106,0.429149798
CHN,PTJ,184,A2,0,1,2,200,20,80,0.4
CHN,PTJ,185,B1,1,2,3,230,12,90,0.391304348
CHN,PTJ,186,B1,1,0,2,209,14,82,0.392344498
CHN,PTJ,187,B1,1,0,3,249,20,103,0.413654618
CHN,PTJ,188,A2,0,0,0,215,13,94,0.437209302
CHN,PTJ,189,B1,1,0,0,219,11,75,0.342465753
CHN,PTJ,190,B1,1,0,6,214,10,85,0.397196262
CHN,PTJ,191,B1,1,0,5,247,13,98,0.396761134
CHN,PTJ,192,B1,1,0,1,214,13,92,0.429906542
CHN,PTJ,193,B1,1,0,2,217,18,84,0.387096774
CHN,PTJ,194,B1,1,1,2,261,14,116,0.444444444
CHN,PTJ,195,B1,1,0,6,238,17,96,0.403361345
CHN,PTJ,196,B1,1,2,1,270,12,96,0.355555556
CHN,PTJ,197,B1,1,1,0,300,9,122,0.406666667
CHN,PTJ,198,A2,0,0,0,203,15,84,0.413793103
CHN,PTJ,199,B1,1,0,1,237,12,93,0.392405063
CHN,PTJ,200,B1,1,0,1,263,26,120,0.456273764
CHN,PTJ,201,B1,1,0,0,211,13,86,0.407582938
CHN,PTJ,202,A2,0,0,4,283,23,107,0.378091873
CHN,PTJ,203,B1,1,0,0,222,13,88,0.396396396
CHN,PTJ,204,B1,1,0,0,220,14,91,0.413636364
CHN,PTJ,205,B1,1,1,4,197,21,85,0.431472081
CHN,PTJ,206,B1,1,1,0,259,23,110,0.424710425
CHN,PTJ,207,B1,1,0,6,292,18,117,0.400684932
CHN,PTJ,208,B1,1,4,6,198,11,77,0.388888889
CHN,PTJ,209,B1,1,0,1,234,29,104,0.444444444
CHN,PTJ,210,A2,0,0,1,198,11,82,0.414141414
CHN,PTJ,211,B1,1,0,9,225,18,96,0.426666667
CHN,PTJ,212,B1,1,3,1,206,13,86,0.417475728
CHN,PTJ,213,B1,1,3,3,272,17,122,0.448529412
CHN,PTJ,214,B1,1,1,4,272,19,116,0.426470588
CHN,PTJ,215,B1,1,0,3,211,15,90,0.426540284
CHN,PTJ,216,A2,0,0,0,180,13,69,0.383333333
CHN,PTJ,217,B1,2,1,2,254,13,96,0.377952756
CHN,PTJ,218,B1,2,0,1,211,14,67,0.317535545
CHN,PTJ,219,B1,1,2,2,215,11,73,0.339534884
CHN,PTJ,220,B1,2,0,0,220,18,99,0.45
CHN,PTJ,221,B1,2,0,8,283,16,115,0.406360424
CHN,PTJ,222,B1,2,1,0,228,12,97,0.425438596
CHN,PTJ,223,B1,1,0,0,209,12,78,0.373205742
CHN,PTJ,224,B1,2,0,0,252,22,117,0.464285714
CHN,PTJ,225,B1,1,0,0,278,14,109,0.392086331
CHN,PTJ,226,B1,2,0,4,330,19,135,0.409090909
CHN,PTJ,227,B1,1,1,2,239,13,105,0.439330544
CHN,PTJ,228,B2,0,2,8,306,18,125,0.408496732
CHN,PTJ,229,B1,1,0,0,248,16,106,0.427419355
CHN,PTJ,230,B1,2,1,1,225,18,92,0.408888889
CHN,PTJ,231,B1,1,0,0,208,20,92,0.442307692
CHN,PTJ,232,B1,1,0,4,264,17,99,0.375
CHN,PTJ,233,B1,1,1,0,233,19,88,0.377682403
CHN,PTJ,234,B1,2,1,4,324,14,128,0.395061728
CHN,PTJ,235,B1,1,0,11,298,14,131,0.439597315
CHN,PTJ,236,B1,1,0,0,241,13,86,0.356846473
CHN,PTJ,237,A2,0,0,0,207,207,86,0.415458937
CHN,PTJ,238,B1,1,1,0,241,12,103,0.427385892
CHN,PTJ,239,B1,1,1,4,202,13,85,0.420792079
CHN,PTJ,240,B1,1,0,6,240,12,85,0.354166667
CHN,PTJ,241,B1,2,1,0,198,14,81,0.409090909
CHN,PTJ,242,B2,0,0,4,268,16,119,0.444029851
CHN,PTJ,243,B1,1,0,1,230,14,89,0.386956522
CHN,PTJ,244,B1,1,2,0,196,15,82,0.418367347
CHN,PTJ,245,B1,1,1,0,248,14,105,0.423387097
CHN,PTJ,246,B1,1,2,1,225,14,91,0.404444444
CHN,PTJ,247,B1,2,0,0,225,17,101,0.448888889
CHN,PTJ,248,B1,1,0,4,253,14,89,0.351778656
CHN,PTJ,249,B1,1,0,0,208,13,84,0.403846154
CHN,PTJ,250,B1,2,0,0,208,12,78,0.375
CHN,PTJ,251,B1,1,0,8,280,18,112,0.4
CHN,PTJ,252,B1,1,0,0,179,14,65,0.363128492
CHN,PTJ,253,B1,1,0,2,201,20,91,0.452736318
CHN,PTJ,254,B1,1,0,2,226,18,93,0.411504425
CHN,PTJ,255,B1,1,0,8,277,16,124,0.44765343
CHN,PTJ,256,B1,1,1,0,233,15,86,0.369098712
CHN,PTJ,257,B1,2,0,13,301,23,127,0.42192691
CHN,PTJ,258,B1,2,0,8,326,19,123,0.377300613
CHN,PTJ,259,B1,2,0,7,315,12,121,0.384126984
CHN,PTJ,260,B1,1,0,6,261,12,100,0.383141762
CHN,PTJ,261,B1,2,3,10,314,18,115,0.366242038
CHN,PTJ,262,B1,1,2,0,227,20,100,0.440528634
CHN,PTJ,263,B1,2,0,0,251,13,103,0.410358566
CHN,PTJ,264,B1,1,0,0,216,15,80,0.37037037
CHN,PTJ,265,B1,1,0,0,198,12,73,0.368686869
CHN,PTJ,266,B1,1,1,0,194,13,80,0.412371134
CHN,PTJ,267,B1,2,0,3,258,16,105,0.406976744
CHN,PTJ,268,B1,1,1,0,249,14,102,0.409638554
CHN,PTJ,269,B1,1,1,7,313,20,116,0.370607029
CHN,PTJ,270,B1,2,0,0,223,14,98,0.439461883
CHN,PTJ,271,B1,1,3,3,258,12,97,0.375968992
CHN,PTJ,272,B1,2,3,5,269,24,115,0.427509294
CHN,PTJ,273,B1,2,0,6,242,24,110,0.454545455
CHN,PTJ,274,B1,2,2,2,229,15,96,0.419213974
CHN,PTJ,275,B2,0,0,6,233,17,94,0.403433476
CHN,PTJ,276,B1,2,2,9,292,14,113,0.386986301
CHN,PTJ,277,B2,0,0,8,299,18,126,0.421404682
CHN,PTJ,278,B1,2,2,7,283,16,100,0.35335689
CHN,PTJ,279,B1,1,0,10,330,17,128,0.387878788
CHN,PTJ,280,B1,2,0,5,304,19,139,0.457236842
CHN,PTJ,281,B1,1,0,4,204,11,91,0.446078431
CHN,PTJ,282,A2,0,0,0,266,13,113,0.42481203
CHN,PTJ,283,B1,2,0,0,235,19,97,0.412765957
CHN,PTJ,284,B1,1,0,2,208,18,85,0.408653846
CHN,PTJ,285,B1,1,0,8,323,14,117,0.362229102
CHN,PTJ,286,B1,1,0,2,241,17,110,0.456431535
CHN,PTJ,287,B1,2,1,0,212,19,93,0.438679245
CHN,PTJ,288,B1,1,0,0,199,16,81,0.407035176
CHN,PTJ,289,A2,0,0,0,277,14,110,0.397111913
CHN,PTJ,290,B1,2,0,0,251,14,101,0.402390438
CHN,PTJ,291,B1,1,1,12,236,26,103,0.436440678
CHN,PTJ,292,B1,1,1,0,222,20,108,0.486486486
CHN,PTJ,293,B1,2,0,3,272,13,112,0.411764706
CHN,PTJ,294,B1,2,1,0,217,18,85,0.391705069
CHN,PTJ,295,B1,2,2,7,223,15,91,0.408071749
CHN,PTJ,296,B1,1,0,2,206,17,82,0.398058252
CHN,PTJ,297,B1,2,0,5,284,12,115,0.404929577
CHN,PTJ,298,B1,1,1,4,269,14,118,0.43866171
CHN,PTJ,299,B1,1,1,0,205,15,76,0.370731707
CHN,PTJ,300,B1,1,2,0,200,14,90,0.45
CHN,PTJ,301,B1,1,0,5,207,18,82,0.396135266
CHN,PTJ,302,B1,1,0,12,299,17,121,0.404682274
CHN,PTJ,303,B1,2,2,1,212,13,74,0.349056604
CHN,PTJ,304,B1,2,0,6,302,16,124,0.410596026
CHN,PTJ,305,B1,1,0,5,316,15,127,0.401898734
CHN,PTJ,306,B1,2,1,7,287,11,101,0.351916376
CHN,PTJ,307,B1,1,0,3,198,18,72,0.363636364
CHN,PTJ,308,B1,1,0,0,295,17,116,0.393220339
CHN,PTJ,309,B1,2,0,0,238,15,87,0.365546218
CHN,PTJ,310,A2,0,1,0,220,12,90,0.409090909
CHN,PTJ,311,B1,2,0,9,302,13,110,0.364238411
CHN,PTJ,312,B1,2,1,7,226,18,95,0.420353982
CHN,PTJ,313,B1,1,0,0,244,12,99,0.405737705
CHN,PTJ,314,B1,1,1,0,219,18,82,0.374429224
CHN,PTJ,315,B1,1,0,2,258,13,93,0.360465116
CHN,PTJ,316,B2,0,0,10,330,18,120,0.363636364
CHN,PTJ,317,B1,2,0,1,215,14,89,0.413953488
CHN,PTJ,318,B1,1,1,11,322,14,132,0.409937888
CHN,PTJ,319,A2,0,0,0,194,21,81,0.417525773
CHN,PTJ,320,B1,1,0,1,267,14,109,0.4082397
CHN,PTJ,321,B1,2,0,0,229,13,85,0.371179039
CHN,PTJ,322,B1,1,0,0,225,12,91,0.404444444
CHN,PTJ,323,A2,0,0,0,225,11,72,0.32
CHN,PTJ,324,B1,2,0,7,291,16,120,0.412371134
CHN,PTJ,325,B1,2,0,0,246,13,110,0.447154472
CHN,PTJ,326,B1,1,0,9,323,13,140,0.433436533
CHN,PTJ,327,A2,0,0,0,227,12,87,0.383259912
CHN,PTJ,328,B1,2,0,5,203,12,82,0.403940887
CHN,PTJ,329,B2,0,0,0,207,14,93,0.449275362
CHN,PTJ,330,B1,1,1,1,321,21,133,0.414330218
CHN,PTJ,331,A2,0,0,0,210,15,88,0.419047619
CHN,PTJ,332,B1,1,3,1,260,13,105,0.403846154
CHN,PTJ,333,B1,1,0,0,225,12,86,0.382222222
CHN,PTJ,334,B2,0,0,16,308,18,114,0.37012987
CHN,PTJ,335,B1,1,1,0,209,14,86,0.411483254
CHN,PTJ,336,B1,1,0,0,207,18,87,0.420289855
CHN,PTJ,337,B1,1,1,2,226,14,88,0.389380531
CHN,PTJ,338,B1,1,0,4,264,13,96,0.363636364
CHN,PTJ,339,B1,1,1,7,286,13,108,0.377622378
CHN,PTJ,340,B1,2,0,3,258,14,95,0.368217054
CHN,PTJ,341,B1,1,2,0,212,14,79,0.372641509
CHN,PTJ,342,B1,2,1,8,223,13,79,0.35426009
CHN,PTJ,343,B1,1,0,0,209,17,82,0.392344498
CHN,PTJ,344,B1,2,1,11,328,21,129,0.393292683
CHN,PTJ,345,B1,2,0,0,220,20,95,0.431818182
CHN,PTJ,346,B1,1,0,5,277,13,117,0.422382671
CHN,PTJ,347,B1,2,1,0,228,12,74,0.324561404
CHN,PTJ,348,B1,2,1,1,218,15,77,0.353211009
CHN,PTJ,349,B1,2,0,0,326,14,110,0.337423313
CHN,PTJ,350,B1,2,0,2,247,19,109,0.441295547
CHN,PTJ,351,B1,1,0,0,232,14,90,0.387931034
CHN,PTJ,352,B1,1,0,7,295,15,116,0.393220339
CHN,PTJ,353,B2,0,0,4,231,14,83,0.359307359
CHN,PTJ,354,B1,1,0,3,279,16,109,0.390681004
CHN,PTJ,355,B1,2,0,0,207,17,92,0.444444444
CHN,PTJ,356,B1,2,3,8,256,14,97,0.37890625
CHN,PTJ,357,B1,2,0,7,300,14,129,0.43
CHN,PTJ,358,B1,1,1,2,247,24,111,0.449392713
CHN,PTJ,359,B1,1,2,2,233,16,98,0.420600858
CHN,PTJ,360,B1,1,0,6,208,9,77,0.370192308
CHN,PTJ,361,B1,1,0,5,282,23,129,0.457446809
CHN,PTJ,362,B1,2,0,0,229,19,101,0.441048035
CHN,PTJ,363,B1,2,0,13,285,17,121,0.424561404
CHN,PTJ,364,B1,2,0,0,226,20,93,0.411504425
CHN,PTJ,365,B1,1,2,9,288,14,113,0.392361111
CHN,PTJ,366,B1,2,1,0,251,19,113,0.450199203
CHN,PTJ,367,B1,1,1,2,249,12,89,0.357429719
CHN,PTJ,368,B1,1,0,1,244,12,90,0.368852459
CHN,PTJ,369,B1,2,1,0,258,18,113,0.437984496
CHN,PTJ,370,B1,2,3,5,311,16,124,0.398713826
CHN,PTJ,371,B1,2,0,7,255,13,101,0.396078431
CHN,PTJ,372,B1,2,0,0,205,12,82,0.4
CHN,PTJ,373,B1,1,0,1,230,10,76,0.330434783
CHN,PTJ,374,B1,2,1,4,258,16,98,0.379844961
CHN,PTJ,375,A2,0,2,1,283,14,134,0.473498233
CHN,PTJ,376,B1,1,0,1,201,14,76,0.378109453
CHN,PTJ,377,B1,2,0,0,233,16,100,0.429184549
CHN,PTJ,378,B1,2,2,5,293,14,129,0.440273038
CHN,PTJ,379,B1,2,4,4,315,16,122,0.387301587
CHN,PTJ,380,B1,2,0,10,288,18,114,0.395833333
CHN,PTJ,381,B1,1,0,0,218,18,97,0.444954128
CHN,PTJ,382,B1,2,1,0,212,14,82,0.386792453
CHN,PTJ,383,B1,1,0,4,219,21,87,0.397260274
CHN,PTJ,384,B1,1,0,3,268,17,109,0.406716418
CHN,PTJ,385,B1,2,0,13,307,25,118,0.384364821
CHN,PTJ,386,A2,0,0,0,181,12,68,0.375690608
CHN,PTJ,387,B1,1,1,2,219,14,91,0.415525114
CHN,PTJ,388,B1,2,2,3,243,14,98,0.403292181
CHN,PTJ,389,B1,1,0,6,269,16,116,0.431226766
CHN,PTJ,390,B1,2,1,9,279,12,115,0.41218638
CHN,PTJ,391,A2,0,0,0,231,19,102,0.441558442
CHN,PTJ,392,B1,2,0,0,225,15,79,0.351111111
CHN,PTJ,393,B1,1,1,0,212,14,87,0.410377358
CHN,PTJ,394,B1,2,0,9,292,12,112,0.383561644
CHN,PTJ,395,B1,1,0,5,328,20,129,0.393292683
CHN,PTJ,396,B1,1,0,7,256,18,107,0.41796875
CHN,PTJ,397,B1,1,0,1,305,16,113,0.370491803
CHN,PTJ,398,B1,2,1,1,224,14,90,0.401785714
CHN,PTJ,399,B1,1,0,0,211,11,91,0.431279621
CHN,PTJ,400,B1,1,1,0,225,11,94,0.417777778
CHN,SMK,1,B1,1,1,0,217,13,90,0.414746544
CHN,SMK,2,B1,1,1,11,292,19,126,0.431506849
CHN,SMK,3,B1,1,0,5,248,11,84,0.338709677
CHN,SMK,4,B1,2,0,0,230,11,86,0.373913043
CHN,SMK,5,B1,2,0,0,208,18,82,0.394230769
CHN,SMK,6,B1,2,0,0,235,16,82,0.34893617
CHN,SMK,7,B1,1,1,1,207,15,80,0.38647343
CHN,SMK,8,B1,2,2,2,219,15,99,0.452054795
CHN,SMK,9,B1,2,0,0,207,14,73,0.352657005
CHN,SMK,10,B1,1,1,2,240,14,97,0.404166667
CHN,SMK,11,B1,1,0,2,237,13,92,0.388185654
CHN,SMK,12,B1,1,1,2,260,18,103,0.396153846
CHN,SMK,13,B1,2,1,11,247,16,95,0.384615385
CHN,SMK,14,B1,2,0,0,245,15,94,0.383673469
CHN,SMK,15,B1,2,0,0,226,15,92,0.407079646
CHN,SMK,16,B1,2,0,1,250,11,98,0.392
CHN,SMK,17,B1,1,0,2,213,13,77,0.361502347
CHN,SMK,18,B1,2,3,4,192,10,57,0.296875
CHN,SMK,19,B1,2,2,17,283,14,125,0.441696113
CHN,SMK,20,B1,1,0,0,204,15,84,0.411764706
CHN,SMK,21,A2,0,0,0,206,13,96,0.466019417
CHN,SMK,22,A2,0,0,0,211,15,94,0.44549763
CHN,SMK,23,B1,1,0,0,209,13,97,0.464114833
CHN,SMK,24,A2,0,0,0,201,11,86,0.427860697
CHN,SMK,25,B1,1,1,1,200,12,82,0.41
CHN,SMK,26,A2,0,0,0,224,14,87,0.388392857
CHN,SMK,27,B1,1,0,4,204,10,79,0.387254902
CHN,SMK,28,B2,0,0,7,281,15,114,0.40569395
CHN,SMK,29,B1,1,0,2,200,15,79,0.395
CHN,SMK,30,B1,2,0,0,202,15,86,0.425742574
CHN,SMK,31,B1,1,1,0,210,14,83,0.395238095
CHN,SMK,32,B1,1,1,6,223,13,86,0.385650224
CHN,SMK,33,B1,2,0,1,210,13,90,0.428571429
CHN,SMK,34,B1,1,0,0,201,13,80,0.39800995
CHN,SMK,35,B1,1,0,0,240,16,102,0.425
CHN,SMK,36,B1,1,0,0,228,16,93,0.407894737
